hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,0.0,0.0,0.0,0.0,2.5956653,0.0,0.0,72808.092377664
1,0.0,0.0,0.0,0.0,1.2689603,0.0,0.0,74889.71554530802
2,0.0,0.0,0.0,0.0,1.9709553,0.0,0.0,77464.99899364801
3,0.0,0.0,0.0,0.0,2.272965,0.0,0.0,78375.151803648
4,0.0,0.0,0.0,0.0,2.7694903,0.0,0.0,80337.49031395202
5,0.0,0.0,0.0,0.0,3.2946195,0.0,0.0,81139.71872395203
6,0.0,0.0,0.0,0.0,3.0491185,0.0,0.0,81375.33728395202
7,0.0,0.0,0.0,0.0,4.6856304,0.0,0.0,80951.04812395203
8,0.0,0.0,0.0,0.0,4.7534667,0.0,0.0,79467.348668952
9,0.0,0.0,0.0,0.0,4.4055943,0.0,0.0,76985.41340019403
10,1.5761005,0.0,0.0,0.0,5.0,0.0,0.0,75615.77619218722
11,0.0,0.0,0.0,0.0,4.2089474,0.0,0.0,72099.59748838122
12,1.8627894,0.0,0.0,0.0,5.0,0.0,0.0,71385.2387220964
13,6.3862871,0.0,0.0,0.0,5.0,0.0,0.0,69294.27933562
14,7.1387083,0.0,0.0,0.0,5.0,0.0,0.0,64761.962057592
15,9.1496637,0.0,0.0,0.0,5.0,0.0,0.0,59517.20764154799
16,4.3614042,0.0,0.0,0.0,5.0,0.0,0.0,54518.792318632
17,7.3703455,0.0,0.0,0.0,5.0,0.0,0.0,51705.608528175995
18,3.4684869,0.0,0.0,0.0,5.0,0.0,0.0,47077.615329235996
19,1.7154856,0.0,0.0,0.0,5.0,0.0,0.0,42572.41857434901
20,2.8553394,0.0,0.0,0.0,5.0,0.0,0.0,38864.963450933006
21,4.4495864,0.0,0.0,0.0,5.0,0.0,0.0,34890.9864060523
22,3.508741,0.0,0.0,0.0,5.0,0.0,0.0,30359.2970434323
23,5.2254168,0.0,0.0,0.0,5.0,0.0,0.0,26726.6757878983
24,2.1329533,0.0,0.0,0.0,5.0,0.0,0.0,22121.5645057943
25,1.9124255,0.0,0.0,0.0,5.0,0.0,0.0,18731.2136848503
26,0.0,0.0,0.0,0.0,3.9935171,0.0,0.0,15320.9215403103
27,1.5686028,0.0,0.0,0.0,5.0,0.0,0.0,13516.509891286361
28,0.0,0.0,0.0,0.0,4.5522201,0.0,0.0,11381.863269150363
29,0.0,0.0,0.0,0.0,3.8182163,0.0,0.0,10715.869074150361
30,0.0,0.0,0.0,0.0,2.1062537,0.0,0.0,12452.865924150361
31,0.0,0.0,0.0,0.0,1.3885205,0.0,0.0,13535.81085915036
32,0.0,0.0,2.2470362,0.0,0.0,0.0,1.5729253,15703.93936275992
33,0.0,0.0,0.0,0.0,1.5198518,0.0,1.5729253,19299.90782929636
34,0.0,0.0,3.1402067,0.0,0.0,0.0,3.77107,22829.480169225055
35,0.0,0.0,0.0,0.0,2.7709789,0.0,3.77107,26218.84912283306
36,0.0,0.0,0.0,0.0,2.3146411,0.0,3.77107,28956.6853547321
37,0.0,0.0,0.0,0.0,1.5795728,0.0,3.77107,33460.411328965056
38,0.78003415,0.0,0.0,0.0,0.0,0.0,3.77107,36370.53665870409
39,0.0,0.0,0.0,0.0,3.4218868,0.0,3.77107,40984.92330523106
40,0.0,0.0,0.0,0.0,3.2909314,0.0,3.77107,44274.136689467065
41,0.0,0.0,0.0,0.0,2.3918674,0.0,3.77107,46466.64268540745
42,0.0,2.7958005,0.0,0.0,0.0,0.0,3.77107,51161.07345873506
43,0.0,0.0,3.0211352,0.0,0.0,0.0,5.8858646,54537.956912930866
44,0.0,0.0,1.9032397,0.0,0.0,0.0,7.2181324,57850.14799936406
45,0.0,0.0,1.1000348,0.0,0.0,0.0,7.9881568,61282.31986632286
46,0.55870845,0.0,0.0,0.0,0.0,0.0,7.9881568,62971.35365459885
47,0.200429,0.0,0.0,0.0,0.0,0.0,7.9881568,66211.47191572085
48,0.0,0.0,1.1077029,0.0,0.0,0.0,8.7635488,68917.85572097686
49,0.0,0.0,2.0785556,0.0,0.0,0.0,10.218538,71915.48170192799
50,0.0,0.086610187,0.0,0.0,0.0,0.0,10.218538,74253.72185586285
51,0.0,0.0,0.0,0.0,2.3549412,0.0,10.218538,76311.22402828738
52,0.0,0.0,0.0,0.0,3.072233,0.0,10.218538,76720.59465328741
53,2.6782093,0.0,0.0,0.0,5.0,0.0,10.218538,78168.42573621939
54,0.0,0.0,0.0,0.0,4.512798,0.0,10.218538,77527.3653259554
55,1.1825925,0.0,0.0,0.0,5.0,0.0,10.218538,79004.52717649541
56,2.8714769,0.0,0.0,0.0,5.0,0.0,10.218538,79267.26013191941
57,3.8045865,0.0,0.0,0.0,5.0,0.0,10.218538,78463.86556383541
58,2.1386158,0.0,0.0,0.0,5.0,0.0,10.218538,79751.13817657139
59,3.2562068,0.0,0.0,0.0,5.0,0.0,10.218538,80227.7379737594
60,6.1853639,0.0,0.0,0.0,5.0,0.0,10.218538,81930.1572102714
61,2.5732658,0.0,0.0,0.0,5.0,0.0,10.218538,82185.70257670339
62,5.124208,0.0,0.0,0.0,5.0,0.0,10.218538,83318.7937528514
63,4.8409461,0.0,0.0,0.0,5.0,0.0,10.218538,83377.3141357394
64,2.6717942,0.0,0.0,0.0,5.0,0.0,10.218538,83982.2208145954
65,6.6085501,0.0,0.0,0.0,5.0,0.0,10.218538,84747.31148368338
66,0.93343548,0.0,0.0,0.0,5.0,0.0,10.218538,84505.65021578339
67,0.0,0.0,0.0,1.9937517,5.0,0.0,6.8956185,85629.56109537059
68,0.38501439,0.0,0.0,1.8339433,5.0,0.0,3.8390464,87608.6983521642
69,0.0,0.0,0.0,0.0,3.7534083,0.0,3.8390464,89026.76459949001
70,-3.5655395e-09,0.0,0.0,2.3034278,5.0,0.0,0.0,92008.33002061801
71,1.1741932,0.0,0.0,0.0,5.0,0.0,0.0,94086.411845238
72,1.5951736,0.0,0.0,0.0,5.0,0.0,0.0,96170.680547958
73,0.18827405,0.0,0.0,0.0,5.0,0.0,0.0,95871.5981051068
74,0.0,0.0,0.0,0.0,4.5559404,0.0,0.0,97053.75667587279
75,0.0,0.0,0.0,0.0,3.2646537,0.0,0.0,97171.4379308728
76,1.2382349,0.0,0.0,0.0,5.0,0.0,0.0,97578.11287587279
77,1.3104095,0.0,0.0,0.0,5.0,0.0,0.0,97592.64209647679
78,2.6839655,0.0,0.0,0.0,5.0,0.0,0.0,97207.66170796799
79,1.6615253,0.0,0.0,0.0,5.0,0.0,0.0,96180.39501572678
80,1.363491,0.0,0.0,0.0,5.0,0.0,0.0,97418.85726468278
81,6.2208201,0.0,0.0,0.0,5.0,0.0,0.0,96082.39504452278
82,3.0332021,0.0,0.0,0.0,5.0,0.0,0.0,93835.11720134279
83,6.451678,0.0,0.0,0.0,5.0,0.0,0.0,91626.56482554677
84,6.6650271,0.0,0.0,0.0,5.0,0.0,0.0,87736.09424926681
85,4.7000981,0.0,0.0,0.0,5.0,0.0,0.0,82746.4782114708
86,5.2340518,0.0,0.0,0.0,5.0,0.0,0.0,78425.5163538563
87,5.9763667,0.0,0.0,0.0,5.0,0.0,0.0,73867.54547188831
88,4.107883,0.0,0.0,0.0,5.0,0.0,0.0,70134.6122137963
89,6.1549476,0.0,0.0,0.0,5.0,0.0,0.0,68559.0218761603
90,3.0430362,0.0,0.0,0.0,5.0,0.0,0.0,65136.4091527843
91,3.6077459,0.0,0.0,0.0,5.0,0.0,0.0,63453.2117068723
92,2.9699906,0.0,0.0,0.0,5.0,0.0,0.0,59389.3783083397
93,4.4124816,0.0,0.0,0.0,5.0,0.0,0.0,55308.020067367805
94,3.7881108,0.0,0.0,0.0,5.0,0.0,0.0,50622.4428044798
95,5.6212972,0.0,0.0,0.0,5.0,0.0,0.0,46373.600532143
96,0.95703576,0.0,0.0,0.0,5.0,0.0,0.0,41448.88424844699
97,2.710589,0.0,0.0,0.0,5.0,0.0,0.0,38630.81457989733
98,0.0,0.0,0.0,0.0,4.8174543,0.0,0.0,35371.83255673772
99,0.0,0.0,0.0,0.0,4.1683758,0.0,0.0,33390.35268408373
100,1.2692352,0.0,0.0,0.0,5.0,0.0,0.0,31755.764558594125
101,0.48899534,0.0,0.0,0.0,5.0,0.0,0.0,29387.457550058123
102,0.49213591,0.0,0.0,0.0,5.0,0.0,0.0,27670.594744106922
103,3.9191035,0.0,0.0,0.0,5.0,0.0,0.0,26747.165845808122
104,0.0,0.0,0.0,0.0,3.6443361,0.0,0.0,23375.980567778122
105,2.0026396,0.0,0.0,0.0,5.0,0.0,0.0,24447.325231883722
106,0.0,0.0,0.0,0.0,3.6831475,0.0,0.0,22965.12820358772
107,0.0,0.0,0.0,0.0,3.9927231,0.0,0.0,23680.301667541724
108,0.0,0.0,0.0,0.0,1.802764,0.0,0.0,24396.984242014125
109,0.0,0.078816165,0.0,0.0,1.0,0.0,0.0,27100.820667026124
110,0.0,0.0,0.0,0.0,1.0678279,0.0,0.0,31027.61440760062
111,0.0,0.0,0.0,0.0,3.7800797,0.0,0.0,33725.49561214062
112,1.1504719,0.0,0.0,0.0,5.0,0.0,0.0,35517.473299184625
113,0.0,0.0,0.0,0.0,4.6811048,0.0,0.0,36002.00250995663
114,0.0,0.0,0.0,0.0,4.8622456,0.0,0.0,36905.77315904862
115,0.30133043,0.0,0.0,0.0,0.0,0.0,0.0,37592.39895546863
116,0.0,0.83528623,0.0,0.0,0.0,0.0,0.0,39221.53693317923
117,0.0,0.0684088,0.0,0.0,0.0,0.0,0.0,41513.94621080313
118,0.14444484,0.0,0.0,0.0,0.0,0.0,0.0,43525.655722563126
119,0.0,0.20063356,0.0,0.0,0.0,0.0,0.0,45814.62724643313
120,0.0,0.57701392,0.0,0.0,0.0,0.0,0.0,48414.83930637593
121,0.55777253,0.0,0.0,0.0,0.0,0.0,0.0,49524.1675899288
122,0.39765845,0.0,0.0,0.0,0.0,0.0,0.0,50955.792465568404
123,0.51459628,0.0,0.0,0.0,0.0,0.0,0.0,51937.2742832224
124,0.0,0.0,0.0,0.0,1.0590181,0.0,0.0,53768.260138712
125,0.0,0.0,0.0,0.0,1.6940434,0.0,0.0,55454.615698712
126,0.0,0.0,0.0,0.0,3.4605008,0.0,0.0,55989.91517871199
127,0.0,0.0,0.0,0.0,2.2861256,0.0,0.0,56683.14754510266
128,0.98424492,0.0,0.0,0.0,5.0,0.0,0.0,59680.980356448665
129,0.0,0.0,0.0,0.0,4.0771761,0.0,0.0,59199.480347343066
130,0.26156405,0.0,0.0,0.0,5.0,0.0,0.0,62520.25467138707
131,0.56202093,0.0,0.0,0.0,5.0,0.0,0.0,63232.59836630906
132,2.6992409,0.0,0.0,0.0,5.0,0.0,0.0,66227.07512181267
133,4.5016987,0.0,0.0,0.0,5.0,0.0,0.0,67147.17087799267
134,1.9808905,0.0,0.0,0.0,5.0,0.0,0.0,66580.94831272867
