hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
38,0.7800341447514674,0.0,2.029401231395751e-09,3.1448589670006203e-09,0.0,0.0,3.7710700649583475,39717.1051326124
39,3.4218868465106387,0.0,1.7300661065871794e-09,2.9389062460443055e-09,1.3190272215364139e-11,0.0,3.7710700624349656,44745.291808586895
40,3.290931368876024,0.0,2.3829394485329707e-09,3.126560807620569e-09,1.1559552974828887e-10,0.0,3.7710700607634426,48384.38433001698
41,2.391867368063211,3.1359984715237794e-10,1.9840096692628316e-09,3.375642986062525e-09,0.0,0.0,3.7710700578848146,50929.21566962881
42,0.0,2.7958004930590548,1.3939655714056382e-08,9.24420049458719e-10,0.0,1.1079941495215702e-09,3.7710700679516376,55992.76641768172
43,9.61185343978484e-10,3.2431480313895956e-09,3.0211351631626346,1.1326795730622518e-09,0.0,0.0,5.8858646823837235,59783.449816646236
44,0.0,1.9425394017070794e-08,1.9032396915681613,1.2468545109111758e-09,0.0,3.253898426651128e-10,7.218132464452001,63620.08212130814
45,5.83229702045961e-10,1.3288837644727841e-08,1.100034785560173,9.085130505821507e-10,0.0,8.76596172180482e-10,7.988156812940494,67580.25790596819
46,0.5587084450400028,0.0,1.379863727730845e-10,3.3616183859348166e-10,0.0,0.0,7.9881568124793185,69639.30262077008
47,0.2004289994833095,0.0,2.661121692198193e-10,5.861863120279701e-10,0.0,0.0,7.988156811689159,73383.96158894328
48,7.487834612332718e-11,5.250709713064955e-10,1.1077028931003732,2.5607689389292487e-10,0.0,5.938894165659701e-12,8.763548836432433,76183.74540050536
49,7.375675822133853e-11,8.673082492313037e-10,2.078555646328295,3.564996686530162e-10,0.0,3.9889592386057484e-11,10.218537788267192,79274.77138210982
50,4.967251055685268e-09,0.08661017847568565,4.6268020812299886e-09,3.98005143834798e-09,0.0,1.1980638739823921e-08,10.21853778490854,81706.41165947472
51,2.354941218156137,0.0,1.1311025571016027e-09,2.256101930661844e-09,0.0,0.0,10.218537781945493,83849.01877858008
52,3.072232965454051,0.0,5.006849452232758e-11,9.736220953394403e-11,0.0,0.0,10.218537781816881,84275.38280744557
53,7.678209298773159,0.0,2.6112921443438708e-09,3.170828357109162e-09,0.0,0.0,10.218537778318305,85759.22460108665
54,4.512798021182844,0.0,3.876018122460103e-09,9.049132704708727e-09,0.0,0.0,10.218537765854744,85118.16419001555
55,4.120885019459623,0.0,7.66999242421492e-11,2.0617074461115847,0.0,0.0,6.782358689046606,86604.42699050605
56,7.871476866449545,0.0,0.0,1.8206928140249108e-10,1.7116380655714137e-10,0.0,6.782358688716641,87998.17143577094
57,8.804586489344997,0.0,1.003438167148464e-10,5.724543956297738e-10,2.907722399653335e-11,0.0,6.782358687823302,87194.77688225618
58,7.138615820430576,0.0,1.6418428235893006e-09,6.359175396605268e-10,0.0,0.0,6.7823586877657505,88482.04946473868
59,8.256206823065838,0.0,4.4691738552534126e-11,0.0,0.0,0.0,6.78235868783872,88958.64927058932
60,11.185363913437518,0.0,1.7731708892617623e-10,3.6593574227283165e-11,7.719480118784487e-12,0.0,6.782358687900764,90661.06851949042
61,7.57326584927199,0.0,3.55015690516024e-10,1.1820077657161934e-10,9.93185282356616e-12,0.0,6.782358687951177,90916.6138640345
62,10.124208046791821,0.0,6.404774824495696e-11,2.2612014524846416e-10,8.293681728920698e-12,0.0,6.78235868761141,92049.70501197287
63,9.840946108792473,0.0,8.670867272201459e-10,0.0,0.0,0.0,6.78235868845278,92108.2253798665
64,7.671794156081963,0.0,1.2651847946782952e-10,4.2674974481337167e-10,1.4444902147334658e-11,0.0,6.782358687814654,92713.13204118732
65,11.608550092800927,0.0,1.4990725929753375e-09,0.0,0.0,0.0,6.782358690718243,93478.22271723124
66,5.933435480042198,5.107291413169604e-10,1.1993998795518783e-09,0.0,0.0,0.0,6.782358692545515,93236.56145026
67,6.9937516770304295,0.0,1.8685543343177035e-09,3.811103039980914e-09,0.0,0.0,6.782358687229519,94360.47229630893
68,7.218957651039795,0.0,1.0637655355932254e-09,0.0,4.281711430993981e-11,0.0,6.782358688084087,95245.87727866162
69,3.7534082600666085,0.0,9.038591318103904e-10,0.0,4.728485913482564e-10,0.0,6.782358690818612,95657.87892675727
70,7.303427833892795,0.0,2.2720796916235412e-09,2.645177106497658e-10,2.713963731198685e-10,0.0,6.782358691805707,98762.3333682897
71,6.174193211494348,0.0,4.004311466410096e-09,4.109753337621624e-09,0.0,0.0,6.782358687632066,99576.80073289217
72,6.5951736401873156,0.0,1.5122768954930908e-09,9.717557899316323e-10,0.0,0.0,6.782358687017544,101661.06944870287
73,5.188274052994081,0.0,2.5076558514346944e-10,4.664853343205392e-10,0.0,0.0,6.782358686401709,101361.98700124954
74,4.555940431751381,0.0,3.314885882676138e-10,7.643731350145151e-10,0.0,0.0,6.782358685341316,102544.14556534932
75,3.2646536495962244,0.0,2.722285925683473e-10,1.4129843797682487e-09,0.0,0.0,6.782358683124391,102666.71190810921
76,6.238234941955637,0.0,2.857268614002145e-10,1.3690292042093986e-09,0.0,0.0,6.782358681008698,103090.26838698606
77,6.3104095109124305,0.0,7.022991509478891e-10,1.1607749191751594e-09,0.0,0.0,6.782358679534666,103104.79756841854
78,7.683965510848822,0.0,4.869355686269565e-10,3.279254288872508e-09,1.8890138261041664e-10,0.0,6.7823586743356215,102719.81717233737
79,6.661525302118289,0.0,4.745583844174259e-10,4.06469254456819e-09,0.0,0.0,6.782358667847436,101692.55047637563
80,6.363490985660046,0.0,3.420819119818524e-10,6.224219115686255e-10,0.0,0.0,6.7823586670169,102931.01272357833
81,11.220820060928254,0.0,9.392353295446555e-10,5.405815796506983e-09,1.4068119703720716e-10,0.0,6.78235865859632,101482.35576044171
82,8.033202104136,0.0,3.460536403281496e-11,0.0,0.0,0.0,6.782358658657869,99235.07793923744
83,11.451678047295017,0.0,5.7716888217768934e-11,0.0,1.5744201923914146e-12,0.0,6.782358658778367,96917.5428244559
84,11.665027073919724,0.0,6.985287636478001e-11,0.0,8.515713191981087e-13,0.0,6.782358658855613,92943.7099923751
85,9.700098093486092,0.0,5.605211012589569e-10,5.077805988630071e-10,5.61936153161994e-11,0.0,6.782358658402743,87689.49071372586
86,10.234051828198137,0.0,3.725610968220287e-10,2.7923126719033035e-10,2.1279519889014257e-11,0.0,6.782358658194592,83012.43635419132
87,10.976366665699436,0.0,1.1302806924260508e-09,1.38797766010214e-09,6.475491263276211e-11,0.0,6.782358656629562,78129.03891826645
88,9.107882991990659,0.0,6.304102362663821e-11,1.3164893943868401e-10,2.1700265933122975e-12,0.0,6.782358656445763,74295.14509656744
89,11.15494759107961,0.0,8.0552447960533e-11,1.4544002261751136e-10,8.554362150477937e-12,0.0,6.7823586562489835,72719.55476048862
90,8.04303616253617,0.0,4.84261270074494e-11,3.4325512622370673e-11,2.8982833349924637e-12,0.0,6.78235865621876,69270.55028235026
91,8.607745945999717,0.0,8.104520064762325e-11,2.161622752871211e-10,4.539511170052751e-12,0.0,6.78235865590606,67575.95229790502
92,3.900575406417094,0.0,2.7113448397434523e-11,4.069415190203794,1.6376287002004916e-11,0.0,5.584036783373805e-09,63019.2188756554
93,9.412481595001603,0.0,4.01811344998944e-09,4.583104619503664e-10,5.259524874505039e-11,0.0,3.4858504261473794e-09,60677.360425090854
94,8.78811076207691,0.0,1.9577220298543516e-10,2.7081156135980845e-10,0.0,0.0,5.717287314603598e-10,55498.88316375568
95,10.621297227842957,0.0,5.6546293607213304e-09,9.496523684457177e-11,0.0,0.0,3.942870026299994e-09,50757.14091489533
96,5.957035766318732,0.0,3.607214368531032e-09,3.9271986988547706e-10,0.0,0.0,2.874663389483158e-09,45739.02461873768
97,7.710588999471235,0.0,1.1317793072265965e-08,3.799354305183331e-10,0.0,0.0,8.030700905896597e-09,42827.554956070984
98,4.817454350644263,0.0,2.088462469079972e-09,6.647060641890688e-10,0.0,0.0,2.4018647218744357e-09,39475.172924649625
99,4.168375763138236,0.0,5.154640362576097e-09,3.1525786161746104e-10,0.0,0.0,3.700439797122411e-09,37403.70299060884
100,6.269235165713696,0.0,5.8579215905511e-09,4.1391873055744217e-10,0.0,0.0,4.3654418269666926e-09,35691.24962418022
101,5.488995354139919,0.0,1.6612396265060936e-08,6.501039263352785e-10,0.0,0.0,1.172680122380129e-08,33249.325117111635
102,5.492135913816482,0.0,8.014458438087138e-09,9.79027265284431e-10,0.0,0.0,7.0332293818968515e-09,31470.707020986018
103,8.919103512401138,0.0,2.654451301066953e-09,5.894146031632259e-10,0.0,0.0,2.6906654922759214e-09,30518.52030177004
104,3.644336086960465,0.0,8.358722456965224e-09,4.788986324833287e-10,0.0,0.0,5.770753631659775e-09,26697.139865155023
